 x0 (cm),y0 (cm),freq (GHz),"Electric field norm (V/m), Point: 2","Electric field norm (V/m), Point: 3","Electric field norm (V/m), Point: 5","Electric field norm (V/m), Point: 6","Electric field norm (V/m), Point: 7","Electric field norm (V/m), Point: 8","Electric field norm (V/m), Point: 10","Electric field norm (V/m), Point: 11","Electric field norm (V/m), Point: 12","Electric field norm (V/m), Point: 13","Electric field norm (V/m), Point: 14","Electric field norm (V/m), Point: 15"
0.6,0.6,21,1.80597647,1.237102919,1.827336501,0.471221998,1.078608038,1.373421701,0.001388887,0.001122426,0.001351662,0.001611804,1.047111765,1.145910835
0.6,0.6,21.1,1.693441535,1.122158825,1.940500263,0.525982415,1.145419863,1.425863899,0.00141395,0.001140506,0.00137224,0.001635942,1.059145145,1.194125326
0.6,0.6,21.2,1.583134051,1.039920984,2.066165529,0.622764422,1.092550673,1.481841219,0.001431744,0.001152404,0.001394814,0.001658799,1.082186236,1.189619644
0.6,0.6,21.3,1.489972242,0.98891952,2.231923576,0.800186233,1.052205497,1.455434246,0.001452822,0.001167831,0.001411661,0.00167847,1.168161786,1.247499444
0.6,0.6,21.4,1.404412961,0.939339741,2.437984966,1.053749832,1.115178771,1.492242528,0.001477168,0.001188637,0.001427724,0.001700157,1.232058312,1.331760999
0.6,0.6,21.5,1.31643015,0.861887339,2.615211545,1.258215509,1.117570519,1.582914033,0.001498127,0.001206796,0.001444366,0.001723333,1.314524647,1.361069353
0.6,0.6,21.6,1.196619452,0.724313989,2.774156446,1.463163259,1.088454564,1.733595518,0.001515745,0.001215815,0.001462896,0.001748701,1.28419256,1.420790811
0.6,0.6,21.7,1.061629885,0.395087135,2.952429991,1.668369431,1.08780522,2.247521796,0.001534522,0.001228733,0.001483306,0.001773536,1.229437098,1.50725406
0.6,0.6,21.8,2.276555221,5.282197509,2.608700904,1.59707728,0.824219532,2.660977811,0.001555363,0.00124023,0.001504555,0.001798925,3.045481909,2.062094415
0.6,0.6,21.9,2.432544907,3.383704304,4.685344085,3.421047534,4.360792821,2.014241224,0.001576845,0.00125574,0.001524736,0.001822775,3.673164793,5.365807106
0.6,0.6,22,2.223316288,5.154065092,4.744746108,3.002259118,3.126928394,1.707974265,0.001595882,0.001275519,0.00154482,0.001846431,1.099509633,0.899744695
0.6,0.6,22.1,1.230302762,0.180186726,4.487387329,2.934831113,1.648203433,0.56137065,0.001612443,0.001294786,0.001565714,0.001867626,1.269817524,0.687379635
0.6,0.6,22.2,1.158843865,1.175113645,3.603454465,2.426842029,1.862135923,1.148793382,0.001634556,0.001311458,0.001586404,0.001890052,1.358531857,0.977833817
0.6,0.6,22.3,1.092282488,1.441044282,2.568048662,1.725422177,2.269919585,1.641795712,0.001656693,0.001328716,0.001606578,0.001917378,1.703942948,1.117920533
0.6,0.6,22.4,2.222016832,1.573154527,1.428193272,0.883118618,4.187980229,2.790784882,0.001678956,0.001345713,0.001628552,0.001943743,4.49400694,1.791777715
0.6,0.6,22.5,1.961197191,2.731998269,1.375897365,1.837204155,1.668499906,1.531313029,0.001699714,0.00136155,0.001646607,0.001962267,6.4206526,3.961782161
