 x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2",Detector
-5.5,-5.5,5.2,0.5657619092588878,0.5991341283047275,0.664173231650906,0.6109200280748017
-5.5,-5.5,5.300000000000001,0.5543057965634747,0.5995340252547386,0.6313068564100534,0.6217191845181435
-5.5,-5.5,5.4,0.5563114172459271,0.5989522906760599,0.6084303522890938,0.6369431232405652
-5.5,-5.5,5.5,0.5768659211231102,0.587172098650862,0.6032016676543849,0.7073903441615849
-5.5,-5.5,5.6000000000000005,0.5969777766353395,0.5858342799120718,0.6097738353980336,0.76346627845895
-5.5,-5.5,5.7,0.6147344944391131,0.599154106334961,0.613439780553778,0.7716713141396162
-5.5,-5.5,5.800000000000001,0.632291867179058,0.6127342793250145,0.6018075968238136,0.766111088078163
-5.5,-5.5,5.9,0.6462029899336226,0.6202113263955,0.5693654190588168,0.7591881085427573
-5.5,-5.5,6,0.654560932123677,0.6183456038642383,0.5168316677987258,0.7541895287329873
-5.5,-5.5,6.1000000000000005,0.6570195300416823,0.6093616666575491,0.44792459467366985,0.745118919688459
-5.5,-5.5,6.2,0.653175030020919,0.6073632030048993,0.35838779872071974,0.7217909075749913
-5.5,-5.5,6.300000000000001,0.6544312514760938,0.6221213733143056,0.4012525401548472,0.7384369947878904
-5.5,-5.5,6.4,0.6709206882471099,0.6273677692617295,0.4850071913588656,0.7618658241312813
-5.5,-5.5,6.5,0.6835661305519021,0.6276758226166949,0.5273744480668457,0.7545011985303645
-5.5,-5.5,6.6000000000000005,0.6904392921706014,0.6256593601351319,0.5501857564134073,0.7373661512886514
-5.5,-5.5,6.7,0.6916172030924359,0.6292924875666183,0.5643873392382112,0.719215127438093
-5.5,-5.5,6.800000000000001,0.6882747379801372,0.6392564398226408,0.5773167913206669,0.7065919137446631
-5.5,-5.5,6.9,0.6819312804942728,0.6507876781534161,0.5947131216436734,0.6991594306640463
-5.5,-5.5,7,0.6763944519672178,0.6543732736138118,0.6546795385731544,0.6829881174249768
