x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector"
-6,-6,7.9,0.752559925,0.619080978,0.783462535,0.709837014
-6,-6,8,0.754533389,0.631940947,0.768484392,0.70175351
-6,-6,8.1,0.753386145,0.639484358,0.746069031,0.689787366
-6,-6,8.2,0.750515898,0.637335643,0.712860147,0.683588901
-6,-6,8.3,0.744013339,0.626353043,0.665024316,0.684278512
-6,-6,8.4,0.731712304,0.614385677,0.603048352,0.688841352
-6,-6,8.5,0.713615319,0.612726335,0.534492096,0.690919215
-6,-6,8.6,0.706854196,0.616765376,0.474501984,0.696166571
-6,-6,8.7,0.704780261,0.614244068,0.439223457,0.712065086
-6,-6,8.8,0.698327591,0.607909172,0.426541644,0.706015637
-6,-6,8.9,0.690044562,0.599954814,0.416196111,0.688285287
-6,-6,9,0.680365081,0.598824392,0.397200983,0.672055988
-6,-6,9.1,0.668341595,0.604554325,0.373280311,0.66449491
-6,-6,9.2,0.652514862,0.610939656,0.360499022,0.665494553
-6,-6,9.3,0.635950078,0.609869704,0.404691344,0.66651112
-6,-6,9.4,0.632791659,0.602192348,0.495632501,0.69137053
-6,-6,9.5,0.634969937,0.597860304,0.564203959,0.719387852
-6,-6,9.6,0.638653385,0.601447196,0.596043171,0.731728313
-6,-6,9.7,0.642120414,0.607218759,0.602752651,0.72956505
-6,-6,9.8,0.644702456,0.609597533,0.600175709,0.718546611
-6,-6,9.9,0.645927052,0.604219363,0.59939036,0.704559161
-6,-6,10,0.645248076,0.592770829,0.610178688,0.691120933
-6,-6,10.1,0.650272782,0.590640187,0.66852597,0.682206455
-6,-6,10.2,0.661934794,0.603823976,0.719139779,0.693686931
-6,-6,10.3,0.674006731,0.614381391,0.740586601,0.713962248
-6,-6,10.4,0.684439424,0.617134551,0.729691463,0.730095954
