x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p",Point average: Electric field norm (V/m)
-4.5,-4.5,2.900000000000001,0.7883395847431416,0.6633663928046711,0.6891031824465247,1.0218642999465488,0.4310966711816645,0.43109665560477045,0.9823437581886958,1.149379877042715,1.1493798497997183,0.9823437507150617
-4.5,-4.5,3,0.8122515549722772,0.6731582740824881,0.6379592699126729,1.0796496657463865,0.4356453232009153,0.4356453042948501,0.9703457888391239,1.01584223471533,1.0158422135155194,0.9703457715506032
-4.5,-4.5,3.1,0.8264368367726421,0.675136452142934,0.5758801931562166,1.0989314089494273,0.4001475414556235,0.400147519538182,0.9377550735336859,0.9420337221339014,0.942033716542598,0.9377550434410922
-4.5,-4.5,3.2,0.8245654535072937,0.6607824456565144,0.5427469439772278,1.0581246823235824,0.3583280821944213,0.358328058223322,0.93881529047222,1.0043763167123325,1.004376332066098,0.9388152500141846
-4.5,-4.5,3.3000000000000007,0.8118122606596379,0.6445552954256151,0.5340103102070858,0.9884611885356333,0.36843022431433736,0.3684301992375294,0.97589058498412,1.1101839787143482,1.110184008620766,0.9758905414158107
-4.5,-4.5,3.400000000000001,0.7928523352319505,0.6414731371084152,0.5176266319069193,0.922073340600725,0.422879950763793,0.4228799268976843,1.0197249844640637,1.1793349439155074,1.1793349810002398,1.0197249425252615
-4.5,-4.5,3.5,0.7674989134752569,0.6484083235145299,0.479024779537027,0.8668319718144947,0.4867563790041583,0.4867563580352931,1.0516884575034178,1.2118262664867345,1.2118263044744801,1.0516884205299224
-4.5,-4.5,3.6,0.7355411617352735,0.6523490238759186,0.41645342160805615,0.824496899985062,0.5386471361142545,0.5386471187130382,1.0639510119454396,1.2233289205275926,1.2233289537438576,1.0639509824629738
-4.5,-4.5,3.7,0.7009856324624296,0.6460744376049525,0.3572604151758661,0.8068553462915735,0.5657149323777642,0.5657149186671849,1.0480064652181624,1.2085977425208043,1.2085977671832517,1.0480064442011565
-4.5,-4.5,3.8000000000000007,0.6714209154375613,0.6257292285041426,0.38015510310184836,0.8286108995466847,0.5524301562708371,0.5524301461038417,0.9912939127125722,1.1472777707291664,1.14727778545844,0.9912939000247398
-4.5,-4.5,3.900000000000001,0.6481085989798744,0.6067505722826907,0.43678748141750595,0.8607111742282548,0.4917313867812962,0.4917313797817928,0.9203634520163056,1.0929192560043008,1.092919260260876,0.9203634485094994
-4.5,-4.5,4,0.6350539634333336,0.6169778352933093,0.5102840656675918,0.8421221426445956,0.43594523168119687,0.43594522781043693,0.9239222353687409,1.161337726578743,1.1613377204052617,0.9239222395708331
-4.5,-4.5,4.1,0.6262185575478955,0.635899494359576,0.5573191843018453,0.7904244186112118,0.4349312827302625,0.4349312819239277,0.985504941213488,1.2721479419569255,1.2721479285552904,0.9855049485097594
-4.5,-4.5,4.2,0.616152924776745,0.6422708848185151,0.5760174227069879,0.7457476430997643,0.47520311292671663,0.47520311427536943,1.038153621625794,1.3420907866082485,1.3420907689779777,1.0381536294596772
-4.5,-4.5,4.300000000000002,0.6037104503487292,0.6364065224971777,0.5800627746741247,0.7159747725960962,0.5302814460514388,0.5302814481635814,1.0628493293264472,1.371590892545788,1.3715908721823553,1.0628493364734681
-4.5,-4.5,4.4,0.5872181861162974,0.6233755720144659,0.5784630222193414,0.6957324433554631,0.5860179392302273,0.5860179411055045,1.0598947553137161,1.3720875064854074,1.372087484046535,1.0598947609672675
-4.5,-4.5,4.5,0.5674923534208495,0.6133759917506031,0.5821525121966676,0.6867861890725948,0.6310824564684552,0.631082457554399,1.0261720409310549,1.3375436683920567,1.3375436440306296,1.0261720449405125
-4.5,-4.5,4.6000000000000005,0.5534082050557813,0.618599553415145,0.6174375258433276,0.7121155931879178,0.6415480664038014,0.6415480652433375,0.9415825424807256,1.241396078838873,1.24139605420608,0.941582547205991
-4.5,-4.5,4.7,0.5587825503662814,0.6311596127228393,0.6989192482308496,0.7704095799628171,0.5836063734149448,0.5836063698401458,0.8428631460913053,1.118369383692928,1.1183693644383774,0.8428631581565241
-4.5,-4.5,4.800000000000002,0.5762033574868171,0.6251670892547562,0.7488146012032546,0.7839213081572023,0.5143995032780486,0.5143994986965883,0.8939468479110907,1.1033519443006239,1.1033519254148896,0.8939468619729105
-4.5,-4.5,4.9,0.5813331496810945,0.6083804437333123,0.7473721174924526,0.7676981372543435,0.5063585591013928,0.5063585621615845,1.007301326772187,1.1219485125392765,1.1219484924130656,1.007301338248109
-4.5,-4.5,5,0.5779595119134261,0.5946686876596513,0.7333409928960631,0.7641568974147435,0.5384295111819188,0.5384295192151319,1.0863933115443223,1.1154485126463138,1.1154484969966123,1.0863933211275691
-4.5,-4.5,5.100000000000001,0.5710077410945354,0.5883395558140913,0.7198799968553784,0.7772104748278981,0.57566202632174,0.5756620372703927,1.1275624594865,1.1030288084626414,1.1030288031680744,1.127562466973658
-4.5,-4.5,5.2,0.5635920066624835,0.5875218800108671,0.7063712896636453,0.7967896801943845,0.6087969603131895,0.6087969728751503,1.1376736541361665,1.1001246106441949,1.10012462033017,1.1376736592646037
-4.5,-4.5,5.300000000000001,0.5619219352597514,0.5927283228962779,0.6912334289796824,0.8133308049601561,0.6289119100305258,0.6289119224504581,1.1215398337365756,1.0911563072778407,1.0911563326713207,1.121539836865857
-4.5,-4.5,5.4,0.5757396674749569,0.5962734090363505,0.6782574547102503,0.8378606075959187,0.6057348001307759,0.6057348115520601,1.072375427052672,1.0182722653409222,1.0182722999932874,1.0723754228845488
-4.5,-4.5,5.5,0.6022274045288785,0.5868113051209972,0.6721696428969474,0.891955260051236,0.4879506643772333,0.4879506817299307,1.0317038031896335,0.9298659634950152,0.9298659903619747,1.0317037795686554
-4.5,-4.5,5.600000000000001,0.6249995171640589,0.5885537220420851,0.6693156969174532,0.9008714543040396,0.40938059542709826,0.4093806168404062,1.102726406811288,1.0097399196125012,1.0097399412778825,1.102726385923261
-4.5,-4.5,5.7,0.643608422426946,0.6058546482964781,0.6594964704029805,0.8738507671492725,0.41437435103500575,0.414374362340191,1.1722850215959806,1.0758286846860121,1.0758286981077867,1.1722850042833444
-4.5,-4.5,5.800000000000002,0.6585098220094953,0.6215347943986149,0.6345856201180597,0.8440958103186142,0.4414354574524046,0.4414354924014676,1.2065571327692588,1.0967915949232554,1.0967915983751007,1.2065571189600834
-4.5,-4.5,5.9,0.6680220552368161,0.6276231839032701,0.592097152862873,0.8213243989669319,0.4721089937830198,0.4721090125822704,1.2165372597957305,1.0983293104191656,1.0983293054747505,1.2165372523276103
-4.5,-4.5,6,0.6722934237984712,0.6223280342535888,0.5335955184411171,0.8085848429025702,0.5009048996352627,0.5009048965459532,1.2086306354719927,1.0955773830559288,1.0955773723423583,1.208630638106508
-4.5,-4.5,6.100000000000001,0.6717919656366856,0.6105196671062483,0.4622009101391143,0.8020045901237947,0.5219798144846068,0.5219798548916734,1.179194451105901,1.0856969583973912,1.0856969447231528,1.1791944680038673
-4.5,-4.5,6.2,0.6661149831338375,0.6079357063288867,0.3737027938100171,0.8021294186684862,0.5182791406130681,0.5182791728226284,1.0989284526996739,1.0198748858055346,1.0198748725914513,1.0989284819914575
