freq (GHz),Base,Ideal,Defect 5mm
29.6,0.500006215,0.788082294,0.785855643
29.7,0.500006362,0.787224417,0.79354428
29.8,0.500006513,0.77570003,0.789130643
29.9,0.500006667,0.757949357,0.775393891
30,0.500006825,0.750552577,0.768869436
30.1,0.500006985,0.750906038,0.767599971
30.2,0.500007149,0.741407372,0.754337873
30.3,0.500007315,0.728434143,0.734390543
30.4,0.500007486,0.727696563,0.725121163
30.5,0.500007659,0.73803751,0.727317748
30.6,0.500007836,0.746275572,0.724455437
30.7,0.500008017,0.754731855,0.720822149
30.8,0.500008201,0.770951694,0.729495592
30.9,0.500008388,0.789483661,0.744697903
31,0.500008579,0.795619949,0.75128547
31.1,0.500008774,0.796911304,0.753974171
31.2,0.500008973,0.806703104,0.764453269
31.3,0.500009175,0.818171912,0.779949062
31.4,0.500009381,0.813999841,0.783003557
31.5,0.500009591,0.805011171,0.780840848
31.6,0.500009806,0.806365324,0.786631147
31.7,0.500010024,0.811342222,0.795606211
31.8,0.500010246,0.800520694,0.790451878
31.9,0.500010473,0.78416956,0.781398065
32,0.500010704,0.779122581,0.783571299
