% r0 (cm),freq (GHz),"Electric field norm (V/m), Point: (-0.088666, -0.09507)","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2"
7,10.7,0,0.645775305,0.664332355,0.446055774
7,10.8,0,0.661941735,0.666002893,0.456142877
7,10.9,0,0.681635014,0.666166657,0.456147954
7,11,0,0.700417094,0.665715751,0.447999951
6.9,9,0,0.707654171,0.660471173,0.235490254
6.9,9.1,0,0.699070959,0.654966934,0.218628181
6.9,9.2,0,0.689805804,0.655609853,0.208715255
6.9,9.3,0,0.678096768,0.652970926,0.227964365
6.9,9.4,0,0.670303907,0.65336678,0.239052516
6.9,9.5,0,0.653931532,0.652333619,0.245577541
6.9,9.6,0,0.630783849,0.650014676,0.249328921
6.9,9.7,0,0.610120467,0.646204809,0.255627161
6.9,9.8,0,0.595416833,0.640271207,0.264980242
6.9,9.9,0,0.587126871,0.634613124,0.274967066
6.9,10,0,0.583812488,0.629329748,0.284874068
6.9,10.1,0,0.58855173,0.626068321,0.30951251
6.9,10.2,0,0.601852876,0.627444739,0.338281677
6.9,10.3,0,0.608285766,0.631986767,0.369987369
6.9,10.4,0,0.609270431,0.638484874,0.393174949
6.9,10.5,0,0.616102696,0.646414625,0.412001926
6.9,10.6,0,0.629915125,0.655170518,0.429433045
6.9,10.7,0,0.646045264,0.661866336,0.442382893
6.9,10.8,0,0.662595206,0.665042104,0.452959771
6.9,10.9,0,0.682575081,0.667265407,0.453231219
6.9,11,0,0.701661381,0.667585456,0.445355685
6.8,9,0,0.709014589,0.667399517,0.236153263
6.8,9.1,0,0.700404497,0.657950931,0.219246246
6.8,9.2,0,0.691222948,0.655642715,0.208592882
6.8,9.3,0,0.679813554,0.653473236,0.228280543
6.8,9.4,0,0.672324907,0.654240584,0.240146983
6.8,9.5,0,0.655978982,0.653278158,0.24705748
6.8,9.6,0,0.632636876,0.650792037,0.250391829
6.8,9.7,0,0.611648132,0.647509832,0.255694784
6.8,9.8,0,0.596655667,0.641670314,0.263907537
6.8,9.9,0,0.588178675,0.634906092,0.273093184
6.8,10,0,0.584868434,0.629241252,0.282702663
6.8,10.1,0,0.589829228,0.626318027,0.306600164
6.8,10.2,0,0.603251669,0.627550978,0.334671957
6.8,10.3,0,0.609389943,0.629554749,0.365991767
6.8,10.4,0,0.609862306,0.6344578,0.389008335
6.8,10.5,0,0.616384528,0.642248208,0.407799971
6.8,10.6,0,0.630190099,0.650953616,0.425362578
6.8,10.7,0,0.646448874,0.657865239,0.438630554
6.8,10.8,0,0.663351449,0.662062821,0.449686447
6.8,10.9,0,0.683681409,0.666324234,0.450203027
6.8,11,0,0.703071108,0.667651352,0.44258215
6.7,9,0,0.710461401,0.675304173,0.236792329
6.7,9.1,0,0.701811085,0.663885902,0.219839422
6.7,9.2,0,0.692709302,0.657508046,0.208378716
6.7,9.3,0,0.681595212,0.654673183,0.228467414
6.7,9.4,0,0.674457717,0.655774492,0.241169181
6.7,9.5,0,0.658058194,0.655053742,0.248562744
6.7,9.6,0,0.634598395,0.652183119,0.251619519
6.7,9.7,0,0.6132397,0.649230574,0.256059431
6.7,9.8,0,0.597986187,0.643965852,0.263176446
6.7,9.9,0,0.589325763,0.636682409,0.271521613
6.7,10,0,0.58602812,0.630094602,0.280790482
6.7,10.1,0,0.591152748,0.627359472,0.303851958
6.7,10.2,0,0.604897494,0.629240846,0.331154816
6.7,10.3,0,0.610603323,0.629070514,0.362055895
6.7,10.4,0,0.610569291,0.631518617,0.384886398
6.7,10.5,0,0.616748026,0.638459407,0.403629811
6.7,10.6,0,0.630543863,0.646622315,0.421311035
6.7,10.7,0,0.6469709,0.653044405,0.434884555
6.7,10.8,0,0.664206318,0.657581434,0.446405207
6.7,10.9,0,0.684891038,0.663623528,0.447144272
6.7,11,0,0.704591048,0.66626687,0.439766672
6.6,9,0,0.711996864,0.682793356,0.237410681
