x0 (cm),y0 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p",Point average: Electric field norm (V/m)
0,0,9.2,0.639723864,0.627061623,0.42873985,0.589600552,0.778728881,0.778728704,0.993482774,0.979083587,0.9790836,0.993482812
0,0,9.3,0.622467991,0.624512579,0.523784393,0.586147687,0.771112378,0.771112235,1.001073954,0.970910268,0.970910314,1.00107399
0,0,9.4,0.618852578,0.616640758,0.638931356,0.611568644,0.764648237,0.764647357,1.021698488,0.956809594,0.956809619,1.021698458
0,0,9.5,0.619001415,0.6117486,0.718258325,0.622533341,0.756993501,0.756992952,1.014084668,0.983225619,0.983225556,1.014084601
0,0,9.6,0.618269683,0.613085226,0.759594423,0.616118851,0.767313646,0.767313095,0.994383211,0.996050518,0.996050376,0.99438313
0,0,9.7,0.61597981,0.615550872,0.77558215,0.605720889,0.792976236,0.792975705,0.976806685,0.981428053,0.981427899,0.97680661
0,0,9.8,0.613335986,0.614225337,0.776603315,0.602906195,0.821706978,0.821706487,0.967565766,0.951099758,0.951099652,0.967565705
0,0,9.9,0.609843748,0.606960551,0.766833932,0.612649197,0.844555467,0.844555014,0.967253996,0.91704716,0.917047141,0.967253949
0,0,10,0.604663187,0.596237923,0.75281612,0.629686711,0.847754035,0.847753613,0.974967786,0.896206728,0.896206821,0.97496776
0,0,10.1,0.608354776,0.592851015,0.777606973,0.658071437,0.832156102,0.83215558,1.003965028,0.878031305,0.878031439,1.003964995
0,0,10.2,0.622240577,0.600548962,0.803649408,0.69155931,0.806624748,0.806624117,1.023620763,0.910871454,0.910871518,1.023620684
0,0,10.3,0.639371391,0.606468222,0.810651498,0.708507217,0.785326481,0.785325759,1.03279923,0.965590359,0.96559029,1.032799139
0,0,10.4,0.65288358,0.605427747,0.791498139,0.70798966,0.790443837,0.790443085,1.030392797,0.985066824,0.985066692,1.030392726
0,0,10.5,0.663435291,0.604153481,0.760004408,0.700174308,0.809288266,0.809287523,1.023354371,0.985965901,0.985965777,1.02335434
0,0,10.6,0.672028818,0.606427889,0.720020698,0.689728558,0.830457993,0.830457272,1.018129082,0.983481142,0.983481062,1.018129102
0,0,10.7,0.676650279,0.614763569,0.670759486,0.677215484,0.847279253,0.847278576,1.017827233,0.980615104,0.980615103,1.017827318
0,0,10.8,0.677086708,0.625192138,0.620854369,0.661740561,0.852191568,0.852190961,1.030510805,0.974890584,0.974890718,1.030510971
0,0,10.9,0.681563543,0.631097742,0.575625327,0.654627391,0.850015515,0.850014896,1.045942539,0.968758603,0.968758729,1.045942744
0,0,11,0.690194896,0.626418014,0.535886621,0.648913261,0.824999902,0.824999265,1.049907905,1.001228821,1.001228849,1.049908105
0,0,11.1,0.701278998,0.616320775,0.508308176,0.639634741,0.80799003,0.807989332,1.038158037,1.016496634,1.016496609,1.038158207
0,0,11.2,0.708807905,0.615039345,0.490127481,0.623050226,0.813279076,0.813278317,1.021662592,0.997402473,0.997402454,1.021662737
0,0,11.3,0.714160578,0.622041707,0.478615095,0.608289413,0.82900213,0.829001703,1.006966073,0.978273501,0.978273483,1.00696621
0,0,11.4,0.717470835,0.629881851,0.475263405,0.597073106,0.847269199,0.847268606,0.996721058,0.969218866,0.969218851,0.9967212
