x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 3","Electric field norm (V/m), Boundary Probe 7","Electric field norm (V/m), Boundary Probe 8","Electric field norm (V/m), Boundary Probe 9","Electric field norm (V/m), Boundary Probe 10"
-9,-9,25.7,0.732002624,0.623687794,0.402068876,0.913896035,1.03648942,1.036486443,1.000336072,1.02513312,1.03648942,1.000337997
-9,-9,25.8,0.731284127,0.622489019,0.400561589,0.91312433,1.03342762,1.033425865,1.002376328,1.019968596,1.03342762,1.002378372
-9,-9,25.9,0.728249956,0.620400363,0.405113419,0.912328432,1.032003715,1.032003398,1.004491873,1.013698869,1.032003715,1.004493745
-9,-9,26,0.726660064,0.617254784,0.420400445,0.911477924,1.033335405,1.033335824,1.005240769,1.007169644,1.033335405,1.005242009
-9,-9,26.1,0.728376158,0.614330648,0.441253765,0.910416659,1.03191979,1.031920299,1.001613118,1.00544981,1.03191979,1.001614328
-9,-9,26.2,0.729930115,0.615775027,0.455742929,0.908349532,1.024939721,1.024939754,1.000561676,1.004390039,1.024939721,1.000563697
-9,-9,26.3,0.727279921,0.617142176,0.466801667,0.904449045,1.017489183,1.017488912,1.003511815,0.997224077,1.017489183,1.003514054
-9,-9,26.4,0.722664236,0.615761404,0.473545708,0.90039055,1.013231383,1.013230871,1.00723523,0.990237795,1.013231383,1.007237181
-9,-9,26.5,0.717608494,0.614077288,0.474652901,0.897109379,1.012139605,1.012138903,1.010245151,0.985842765,1.012139605,1.010246744
-9,-9,26.6,0.71230245,0.612639251,0.469522389,0.895237231,1.013037137,1.013036594,1.012165247,0.98391437,1.013037137,1.012166716
-9,-9,26.7,0.706604387,0.611908495,0.469751001,0.895116412,1.016622529,1.01662269,1.013781804,0.984560107,1.016622529,1.013783366
-9,-9,26.8,0.70299428,0.614292353,0.506269038,0.897583302,1.021670982,1.021672603,1.014366406,0.987938567,1.021670982,1.014368268
-9,-9,26.9,0.705224675,0.616830122,0.560435744,0.902297177,1.029825278,1.029828758,1.01411618,0.994240832,1.029825278,1.0141184
-9,-9,27,0.707184371,0.61528074,0.572288184,0.905488088,1.032670991,1.032673904,1.017137676,0.995524675,1.032670991,1.01714004
-9,-9,27.1,0.705235903,0.612532777,0.562820762,0.90941873,1.032506544,1.032508268,1.021887694,0.997504476,1.032506544,1.021889647
-9,-9,27.2,0.701448906,0.610527085,0.548005479,0.91319736,1.033637318,1.033638517,1.024462512,1.002149656,1.033637318,1.024463792
-9,-9,27.3,0.696741393,0.609231235,0.527633425,0.916058884,1.037213412,1.037214726,1.024610416,1.009082996,1.037213412,1.02461126
-9,-9,27.4,0.690936294,0.607615537,0.500811095,0.917768856,1.042204341,1.0422061,1.023911856,1.016134207,1.042204341,1.023912737
-9,-9,27.5,0.684948667,0.606162788,0.477761527,0.917685512,1.047930629,1.047932201,1.023082765,1.021107557,1.047930629,1.023083668
-9,-9,27.6,0.679753199,0.605217782,0.462864418,0.916882801,1.054041082,1.054041375,1.021825546,1.024502532,1.054041082,1.021826183
-9,-9,27.7,0.680568583,0.601511962,0.458965582,0.914543187,1.059610685,1.059607832,1.018361058,1.020246322,1.059610685,1.018361229
-9,-9,27.8,0.681719838,0.60229401,0.454779787,0.914912289,1.055179512,1.055173809,1.017784708,1.018023871,1.055179512,1.017784211
-9,-9,27.9,0.680499302,0.607040723,0.453829379,0.916393884,1.049316049,1.049309974,1.018132916,1.016462115,1.049316049,1.018131133
-9,-9,28,0.678326955,0.609450607,0.459322332,0.917944943,1.046155565,1.046149974,1.016648818,1.015040683,1.046155565,1.016645939
-9,-9,28.1,0.676099958,0.608303467,0.471856947,0.918791841,1.045377098,1.045371629,1.01358361,1.013038997,1.045377098,1.013580205
-9,-9,28.2,0.673911447,0.605086388,0.487697609,0.918303376,1.045190856,1.045185167,1.009858947,1.009189889,1.045190856,1.009855431
-9,-9,28.3,0.672288679,0.601663058,0.502701094,0.916816523,1.04303157,1.043025445,1.006889125,1.005388614,1.04303157,1.006885887
-9,-9,28.4,0.670554591,0.60179145,0.503911531,0.912149526,1.040470619,1.040464957,1.005907789,0.99736673,1.040470619,1.005905971
-9,-9,28.5,0.674280125,0.606104361,0.479045762,0.909549174,1.036065808,1.036060876,1.006334832,0.992481494,1.036065808,1.006334482
-9,-9,28.6,0.677468598,0.607559222,0.43540094,0.909020111,1.027767894,1.027764323,1.007848301,0.991707696,1.027767894,1.007847697
-9,-9,28.7,0.678374703,0.605906854,0.394018827,0.907998538,1.021694745,1.021693398,1.007095589,0.991826327,1.021694745,1.007094697
-9,-9,28.8,0.678792336,0.603514523,0.364824228,0.907507548,1.018608874,1.018609857,1.004319953,0.992318104,1.018608874,1.004318924
-9,-9,28.9,0.67982592,0.602597544,0.350122284,0.908007518,1.017779172,1.017782217,1.00162367,0.992440065,1.017779172,1.00162211
-9,-9,29,0.68230549,0.604469722,0.347530118,0.910180537,1.017946487,1.017950848,0.999925609,0.993600148,1.017946487,0.999923215
-9,-9,29.1,0.685064073,0.60770389,0.371383086,0.912451332,1.017352923,1.017357689,0.999029698,0.994307524,1.017352923,0.999026113
-9,-9,29.2,0.688846139,0.61050062,0.425749458,0.913081604,1.019360283,1.019365032,0.996396828,0.996941024,1.019360283,0.996391712
-9,-9,29.3,0.698790353,0.609089936,0.456861005,0.915060989,1.020390374,1.020394333,0.994527362,1.002755685,1.020390374,0.994522826
-9,-9,29.4,0.705621412,0.609102781,0.456647259,0.915450894,1.01836369,1.018367582,0.993535476,1.00677597,1.01836369,0.993531741
-9,-9,29.5,0.708681051,0.613704993,0.449810288,0.914174165,1.017386055,1.017391055,0.992714789,1.01044021,1.017386055,0.99271206
-9,-9,29.6,0.709470558,0.618354114,0.444851598,0.912015146,1.018747641,1.018753922,0.992588445,1.011897529,1.018747641,0.992586707
-9,-9,29.7,0.709319914,0.619457444,0.441921314,0.910404773,1.022513175,1.022519904,0.993179477,1.012513279,1.022513175,0.993178547
