% Model:              2D.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 19 2023, 10:48
% Table:              Probe Table 1 - 
% freq (GHz)                                      phi (deg)                                         Electric field norm (V/m), Boundary Probe 1
5                                                 360                                               0.6232101844712425
6                                                 0                                                 0.6910878128404664
6                                                 29.999999999999996                                0.7555717889839024
6                                                 59.99999999999999                                 0.8312178577550736
6                                                 90                                                0.7352107771905354
6                                                 119.99999999999999                                0.6571629291128835
6                                                 150                                               0.6768255397937109
6                                                 180                                               0.7063888808566129
6                                                 210                                               0.6873265709506106
6                                                 239.99999999999997                                0.6111909011935771
6                                                 270                                               0.6436611035051578
6                                                 300                                               0.6296794915263331
6                                                 330                                               0.6934659148338025
6                                                 360                                               0.6910878128404664
7                                                 0                                                 0.6688243492348677
7                                                 29.999999999999996                                0.8639183060108542
7                                                 59.99999999999999                                 0.9406836302309567
7                                                 90                                                0.7396205136304613
7                                                 119.99999999999999                                0.6457353352404773
7                                                 150                                               0.6361154229982524
7                                                 180                                               0.6311458424838249
7                                                 210                                               0.560877349821242
7                                                 239.99999999999997                                0.6310531374719206
7                                                 270                                               0.7125473439445091
7                                                 300                                               0.6405316076178341
7                                                 330                                               0.6480785198699429
7                                                 360                                               0.6688243492348672
8                                                 0                                                 0.6994370005607785
8                                                 29.999999999999996                                0.7977292686757002
8                                                 59.99999999999999                                 0.8147569972701715
8                                                 90                                                0.7521635875782349
8                                                 119.99999999999999                                0.7391671663626905
8                                                 150                                               0.6439521620376939
8                                                 180                                               0.7578801155478581
8                                                 210                                               0.734552003729032
8                                                 239.99999999999997                                0.7152437225642587
8                                                 270                                               0.6319396795213136
8                                                 300                                               0.6609925755529994
8                                                 330                                               0.7001021229339717
8                                                 360                                               0.699437000560777
9                                                 0                                                 0.790984265884759
9                                                 29.999999999999996                                0.9032429842474716
9                                                 59.99999999999999                                 0.8683389718709802
9                                                 90                                                0.8808804031949681
9                                                 119.99999999999999                                0.8304464608288995
9                                                 150                                               0.7434952248833395
9                                                 180                                               0.748256699639716
9                                                 210                                               0.729805859553287
9                                                 239.99999999999997                                0.7617530311415398
9                                                 270                                               0.807059546124183
9                                                 300                                               0.7313049160246465
9                                                 330                                               0.7592395721598698
9                                                 360                                               0.7909842658847591
10                                                0                                                 1.024533702306291
10                                                29.999999999999996                                1.2517662902712186
10                                                59.99999999999999                                 1.1582457926578589
10                                                90                                                0.9697453712061388
10                                                119.99999999999999                                0.8672367069994982
10                                                150                                               0.8179470363982232
10                                                180                                               0.8185170815893872
10                                                210                                               0.7321289410682944
10                                                239.99999999999997                                0.6849389902638225
10                                                270                                               0.7665818628872321
10                                                300                                               0.7843869002895643
10                                                330                                               0.8898028836205335
10                                                360                                               1.024533702306291
11                                                0                                                 0.927914536943949
11                                                29.999999999999996                                1.2568685011094864
11                                                59.99999999999999                                 1.2097019640279267
11                                                90                                                1.0481815551022298
11                                                119.99999999999999                                0.9090848789822837
11                                                150                                               0.7930428606615265
11                                                180                                               0.8626267292465181
11                                                210                                               0.8065903252744874
11                                                239.99999999999997                                0.9435751618914651
11                                                270                                               0.7542565978631576
11                                                300                                               0.8850537184037984
11                                                330                                               0.854380934817661
11                                                360                                               0.9279145369439497
12                                                0                                                 1.1085950336385473
12                                                29.999999999999996                                1.456186802290378
12                                                59.99999999999999                                 1.3905510558540102
12                                                90                                                1.459578765152884
