x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p","Electric field norm (V/m), Boundary Probe 3p"
-9,-9,23.8,0.66042,0.60123,0.60364,0.48932,1.0561,1.0561,1.008,1.0066,1.0066,1.008
-9,-9,23.9,0.66242,0.60144,0.64674,0.48992,1.0576,1.0576,1.0072,0.99986,0.99986,1.0072
-9,-9,24,0.66431,0.60481,0.66607,0.4922,1.0573,1.0573,1.0058,0.99593,0.99593,1.0058
-9,-9,24.1,0.66618,0.60878,0.66857,0.49226,1.0576,1.0576,1.0048,0.99446,0.99446,1.0048
-9,-9,24.2,0.66718,0.61228,0.65223,0.4893,1.058,1.058,1.0048,0.99527,0.99526,1.0048
-9,-9,24.3,0.66543,0.61315,0.61671,0.48325,1.0575,1.0575,1.0061,0.99778,0.99778,1.0061
-9,-9,24.4,0.6619,0.6104,0.59286,0.47256,1.0637,1.0637,1.009,0.99543,0.99543,1.009
-9,-9,24.5,0.66691,0.6118,0.60952,0.47098,1.0735,1.0735,1.0098,0.99214,0.99214,1.0098
-9,-9,24.6,0.67318,0.61458,0.6099,0.46149,1.0772,1.0772,1.0061,0.9887,0.9887,1.0061
-9,-9,24.7,0.67825,0.61488,0.59649,0.45574,1.0737,1.0737,1.0033,0.99112,0.99112,1.0033
-9,-9,24.8,0.68325,0.61403,0.58088,0.45563,1.069,1.069,1.002,0.99617,0.99617,1.002
-9,-9,24.9,0.6883,0.61301,0.55926,0.45735,1.066,1.066,1.0012,1.0018,1.0018,1.0012
-9,-9,25,0.69213,0.61169,0.52562,0.45972,1.0641,1.0641,0.99979,1.0073,1.0073,0.99979
-9,-9,25.1,0.69198,0.61092,0.48179,0.4618,1.0626,1.0626,0.99733,1.0101,1.0101,0.99733
-9,-9,25.2,0.69134,0.61154,0.44627,0.4645,1.0686,1.0686,0.99654,1.0142,1.0142,0.99654
-9,-9,25.3,0.69543,0.61223,0.41962,0.47114,1.0728,1.0728,0.99279,1.0168,1.0168,0.99279
-9,-9,25.4,0.70128,0.61302,0.39812,0.47064,1.0682,1.0682,0.99128,1.0267,1.0267,0.99129
-9,-9,25.5,0.70609,0.61568,0.38284,0.4733,1.0575,1.0575,0.99465,1.0333,1.0333,0.99466
-9,-9,25.6,0.71049,0.61916,0.37556,0.47817,1.0479,1.0479,1.0003,1.0331,1.0331,1.0003
-9,-9,25.7,0.71428,0.6216,0.37411,0.48147,1.0413,1.0413,1.0056,1.0283,1.0283,1.0056
-9,-9,25.8,0.71614,0.62317,0.3768,0.48185,1.0368,1.0368,1.0092,1.0203,1.0203,1.0092
