% Model,Untitled.mph
% Version,COMSOL 6.1.0.282
% Date,"Jun 9 2023, 12:37"
% Table,Probe Table 1 - 
% freq (GHz),phi (deg),"Electric field norm (V/m), Domain Probe 1","Electric field norm (V/m), Boundary Probe 1","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3"
1.4,180,0.6839359004768621,0.7006425604225364,0.6034523051117557,0.6364835637815601
1.4,195,0.6804556596436387,0.7033962484675004,0.583017766054012,0.633411120712493
1.4,210,0.6709678020527412,0.7058267676080702,0.569581810719976,0.6244451689189849
1.4,225,0.6579334459906796,0.6939405006557353,0.566321754714645,0.6095864916563145
1.4,239.99999999999997,0.6443337891042035,0.6538388320515162,0.5667745921949552,0.5884170129879991
1.4,255,0.633353187807841,0.5811277828870784,0.5631498053369992,0.5632564981681523
1.4,270,0.6283777544281695,0.5123381763236674,0.5578723531478382,0.5450766390714848
1.4,285,0.6333532034682067,0.5241070542935949,0.5631498265761247,0.5632565241737802
1.4,300,0.6443338171618798,0.547040426130464,0.5667746239540322,0.5884170502491124
1.4,315,0.657933482967896,0.5818545457947429,0.5663217954747458,0.6095865361163669
1.4,330,0.6709678443034995,0.6235152656695229,0.5695818588701993,0.6244452172323013
1.4,345,0.6804557039766983,0.6580880277102085,0.5830178181761635,0.6334111702690213
1.4,360,0.6839359443030437,0.6714183277387966,0.6034523570552677,0.636483612368527
1.5,0,0.6695146777050794,0.7222132358518901,0.5960919847909777,0.6282262326131817
1.5,14.999999999999998,0.6666505588594052,0.7043942824633919,0.6274867356792173,0.626881407643639
1.5,29.999999999999996,0.6593319618280714,0.6591060067723437,0.646889078851362,0.6229147599800223
1.5,45,0.650290737926224,0.6070671903857299,0.6493023682819274,0.6151096569096199
1.5,59.99999999999999,0.6414420482794542,0.5649471187107693,0.6375868355424601,0.59974951671286
1.5,75,0.6341449328097875,0.5354082360377143,0.6253110519828728,0.5768229235332617
1.5,90,0.6304554091179271,0.5155065945786294,0.6230544289604549,0.5595723545665962
1.5,105,0.6341449238936024,0.5727876916232005,0.6253110493191275,0.5768229072014502
1.5,119.99999999999999,0.6414420312163333,0.6361390839469876,0.6375868211274367,0.5997494954185748
1.5,135,0.6502907127660915,0.6618013981463973,0.649302343766956,0.6151096313508291
1.5,150,0.6593319293664612,0.6564254766421779,0.6468890434823044,0.6229147290838901
1.5,165,0.6666505208264918,0.6393412918998911,0.627486693905507,0.6268813724218117
1.5,180,0.6695146363679966,0.6306419002264689,0.5960919405939631,0.6282261943878257
1.5,195,0.6666505176545239,0.6393412876447498,0.5662941492770319,0.6268813685662717
1.5,210,0.6593319230880968,0.6564254680906341,0.5524723779169146,0.6229147216953275
1.5,225,0.6502907040792975,0.6618013856707101,0.5551506803676877,0.615109621508028
1.5,239.99999999999997,0.6414420217510611,0.6361390693898102,0.5608540096200233,0.5997494856074279
1.5,255,0.6341449156946798,0.5727876803187304,0.5586346762439732,0.5768228998897097
1.5,270,0.6304554039012641,0.5155065996989827,0.5548446121642695,0.5595723534925156
1.5,285,0.6341449304842931,0.5354082392660983,0.5586346913238183,0.5768229216053629
1.5,300,0.6414420483248275,0.564947124517223,0.5608540315482993,0.5997495161079339
1.5,315,0.6502907392454562,0.6070671977070579,0.5551507094697182,0.6151096572232623
1.5,330,0.6593319633684291,0.6591060133077543,0.5524724146558704,0.6229147605633818
1.5,345,0.6666505598330305,0.7043942861653196,0.5662941916171798,0.6268814081513302
1.5,360,0.6695146777050794,0.7222132358518901,0.5960919847909775,0.6282262326131817
1.6,0,0.6354953096772287,0.7558543085959908,0.5808295510513595,0.6093887010388067
1.6,14.999999999999998,0.6344324695203474,0.7338859391852812,0.6258023149968173,0.611737140331651
1.6,29.999999999999996,0.632761857384198,0.6804902296881423,0.6634187221843985,0.617389707711075
1.6,45,0.6326834148562249,0.6240712517798886,0.6818349314382938,0.6204379516055983
1.6,59.99999999999999,0.6334446849789748,0.5800864084291376,0.6808419405236824,0.6132035060764534
1.6,75,0.6333028155043706,0.5463349399708508,0.6731661200481054,0.5942265620735471
1.6,90,0.632322687204148,0.5201929504336823,0.6710122710442163,0.5782377698056443
1.6,105,0.6333028092493566,0.5654085008000415,0.6731661159203338,0.5942265489667385
1.6,119.99999999999999,0.6334446726676264,0.6134393225504984,0.6808419271504005,0.6132034907950507
1.6,135,0.632683395711422,0.6212776442250835,0.6818349100923704,0.6204379343259919
1.6,150,0.6327618313377943,0.5976901118997903,0.6634186942959492,0.6173896876578684
1.6,165,0.6344324377568419,0.5646412700548479,0.6258022832826056,0.6117371178629306
1.6,180,0.6354952743077468,0.5486005092400871,0.5808295173432491,0.6093886761472164
1.6,195,0.6344324340507298,0.5646412681837449,0.5476366229314953,0.611737113952608
1.6,210,0.6327618240477815,0.5976901067149397,0.5424266851071683,0.6173896805896032
1.6,225,0.6326833858703187,0.6212776349913987,0.5560589226789975,0.6204379259007793
1.6,239.99999999999997,0.6334446622791455,0.6134393106577316,0.567485876248276,0.613203483378674
1.6,255,0.6333028005470729,0.5654084919763088,0.5664267498783878,0.5942265449745696
1.6,270,0.6323226818867053,0.5201929569477691,0.5628563519289476,0.5782377710747105
1.6,285,0.6333028133246508,0.5463349435860756,0.5664267572781405,0.5942265621188347
1.6,300,0.633444685300599,0.5800864140951516,0.5674858871989407,0.6132035067782757
1.6,315,0.6326834164744212,0.6240712591382548,0.5560589390913856,0.6204379526406547
1.6,330,0.6327618591927497,0.6804902366080356,0.5424267092395625,0.6173897087687658
1.6,345,0.6344324706685462,0.7338859432664433,0.5476366532740977,0.6117371410897813
1.6,360,0.6354953096772283,0.7558543085959907,0.5808295510513595,0.6093887010388066
1.7000000000000002,0,0.5874349407120653,0.7691082295590739,0.5634120003607843,0.5937317450390541
1.7000000000000002,14.999999999999998,0.5894621109722974,0.7441507922783022,0.6160885879652472,0.5989374178665061
1.7000000000000002,29.999999999999996,0.5970059018008813,0.6882097282892109,0.6700685174987319,0.614073481886109
1.7000000000000002,45,0.6099742528388028,0.6351511545365409,0.706159708530571,0.6277456270216922
1.7000000000000002,59.99999999999999,0.6236046315039263,0.5938305068309128,0.7190318876559476,0.6281851365408376
1.7000000000000002,75,0.6326932690045426,0.5565539175173048,0.7186140547381812,0.6126580009004337
1.7000000000000002,90,0.6350753301869669,0.522943866230241,0.7178852446603515,0.5965807487165808
1.7000000000000002,105,0.6326932653426027,0.5571983565540021,0.7186140501867626,0.6126579902893404
1.7000000000000002,119.99999999999999,0.6236046239792717,0.5896990964887682,0.7190318757847551,0.6281851251923924
1.7000000000000002,135,0.6099742401505028,0.5848400119920968,0.7061596904192033,0.6277456149994044
1.7000000000000002,150,0.5970058832432997,0.5541540480519734,0.6700684950047782,0.6140734689606775
1.7000000000000002,165,0.5894620873636881,0.5212030531418931,0.616088564167034,0.5989374049372804
1.7000000000000002,180,0.5874349138301117,0.5093144900802216,0.5634119774199023,0.593731731550788
1.7000000000000002,195,0.5894620833120482,0.5212030552202975,0.5368002111905876,0.5989374020893524
1.7000000000000002,210,0.5970058753477765,0.5541540479335386,0.5486005362816966,0.6140734636108465
1.7000000000000002,225,0.6099742298039266,0.5848400074394228,0.5729982370776836,0.6277456089372911
1.7000000000000002,239.99999999999997,0.6236046133922327,0.5896990882564028,0.5858988007780851,0.6281851201451577
1.7000000000000002,255,0.6326932566921427,0.5571983500440159,0.5810777374790455,0.6126579884004538
