% Model,2D.mph
% Version,COMSOL 6.1.0.282
% Date,"May 24 2023, 14:48"
% Table,Accumulated Probe Table 2 - 
% d0 (mm),freq (GHz),"Electric field norm (V/m), Boundary Probe 1"
5,16,0.8514973658136413
5,17,0.9114291381717347
5,18,1.025534606953358
5,19,0.9830204215301523
5,20,1.4528143106639853
5,21,1.3842002052539877
5,22,1.007304356364586
5,23,0.9513656681319572
5,24,1.0121229545737433
5,25,0.7988192995630017
6,1,0.39966818921109015
6,2,0.3963426795244351
6,3,0.3476688221854167
6,4,0.3864670211402305
6,5,0.35935751238182834
6,6,0.37208022196084584
6,7,0.4310047906215775
6,8,0.44061733978912726
6,9,0.4234534366187014
6,10,0.5145276675731524
6,11,0.6868131008594238
6,12,0.7332531182824478
6,13,0.8003178253984251
6,14,0.9811188610788971
6,15.000000000000002,0.8349481864788918
6,16,0.7876575084966309
6,17,0.9217988595446162
6,18,1.0347737465568414
6,19,0.985852882016916
6,20,1.4676583538718406
6,21,1.357479384113004
6,22,1.0176452764041466
6,23,0.9415232639065123
6,24,1.0200684202115997
6,25,0.7837405693080465
7,1,0.39984118953036046
7,2,0.3978979435773161
7,3,0.3480318531615106
7,4,0.3874190301396208
7,5,0.35585678727574416
7,6,0.36987133229924773
7,7,0.4269120473563191
7,8,0.43482295014203903
7,9,0.43281143930052285
7,10,0.5237445548228691
7,11,0.6537070743326755
7,12,0.7146591355648897
7,13,0.8218473916673174
7,14,0.9997414177047491
7,15.000000000000002,0.9039719583446657
7,16,0.8016383598246553
7,17,0.8811448681918039
7,18,0.9951749780088714
7,19,0.9563450375230986
7,20,1.452711739003806
7,21,1.3762903898662846
7,22,1.042373180767654
7,23,0.967558994093991
7,24,1.022714731187673
7,25,0.8158273465228247
8,1,0.40017768588675623
8,2,0.3996165673131987
8,3,0.3482178795634369
8,4,0.3844715232958456
8,5,0.3513232688118094
8,6,0.36586251280519927
8,7,0.4288893709246069
8,8,0.4236144071627323
8,9,0.41700610919502734
8,10,0.525496548473299
8,11,0.639124744780853
8,12,0.724250291363793
8,13,0.8146704163553335
8,14,0.9796642666298672
8,15.000000000000002,0.8557403118042833
8,16,0.7350553502265252
8,17,0.8894314860051133
8,18,0.9957176795515125
8,19,0.9786583262915514
8,20,1.4423636021253359
8,21,1.3822179101034153
8,22,1.0277896055630669
8,23,0.9523052442004512
8,24,1.0347719493846597
8,25,0.7897496341019301
9,1,0.40065782371742753
9,2,0.40139755750979755
9,3,0.3480141159197254
9,4,0.381358217483119
9,5,0.34932903835411416
9,6,0.36252016933270187
9,7,0.4275683148791986
9,8,0.426276762880971
9,9,0.41921638549216456
9,10,0.5369630177891661
9,11,0.6690338393112331
9,12,0.7570352580422374
9,13,0.8447188230249337
9,14,0.9408915134357424
9,15.000000000000002,0.8366580330766344
9,16,0.801258719199984
9,17,0.8955867065744724
9,18,1.0117825175026092
9,19,0.9651481304300102
9,20,1.4591985942007348
9,21,1.320765323052671
9,22,1.0046278512145765
9,23,0.9279218248952376
9,24,1.0022301931544837
9,25,0.7754259693941505
10,1,0.40125980958092383
10,2,0.40313777774271475
10,3,0.3470023260265164
10,4,0.37640652499462895
10,5,0.3444932764261434
10,6,0.363222739382775
10,7,0.4270259979979167
10,8,0.4146869401698045
10,9,0.42617660824027725
10,10,0.5297244993909616
10,11,0.6727363293175481
10,12,0.7608422332233774
10,13,0.8118725652841406
10,14,0.9609458963862356
10,15.000000000000002,0.8883728171593626
10,16,0.8255391941351446
10,17,0.8947103029648371
10,18,1.004768627847008
10,19,0.9773786656550786
10,20,1.455610691349291
10,21,1.3558538011986456
10,22,0.9932826761394382
10,23,0.9472515655369657
10,24,1.005675380555868
10,25,0.7908988223824351
11,1,0.40195873306618857
11,2,0.40461575741872957
11,3,0.34514232721347876
11,4,0.3712409385022859
11,5,0.3399019650167308
11,6,0.3645746611895637
11,7,0.42293063920799434
11,8,0.41743000841366473
11,9,0.42475993350112584
11,10,0.5275124989161364
11,11,0.6517109366058493
11,12,0.7455913376742797
11,13,0.8000176075305573
11,14,0.9447188510222886
11,15.000000000000002,0.8106768173486381
11,16,0.7609629172950593
11,17,0.8804937414635089
11,18,1.0010542026966385
11,19,0.9692427400835992
11,20,1.4357788088062478
11,21,1.3788325048152104
11,22,1.0202673610352906
11,23,0.939856641372664
11,24,1.0165120451136003
11,25,0.7924990900689955
12,1,0.40272899530786127
12,2,0.4057246446513172
12,3,0.3434636301258521
12,4,0.36700960153208495
12,5,0.3394004099160676
12,6,0.3679927507022232
12,7,0.42492153590230414
12,8,0.43060722437139176
12,9,0.43417733241664735
12,10,0.523273190214924
12,11,0.6592453733504203
12,12,0.7126697135940752
12,13,0.8473144034865605
12,14,0.9739961928800789
12,15.000000000000002,0.8998552879682313
12,16,0.7322314672781833
12,17,0.8683614169456764
12,18,1.0094146289813826
12,19,0.9744982470160081
12,20,1.3909606910088639
12,21,1.3360978554997693
12,22,0.9941543426478364
12,23,0.9296749619849093
12,24,0.9986184096880071
12,25,0.7740522016389006
13,1,0.40354095494305986
13,2,0.4063804189253913
13,3,0.3412993768586169
13,4,0.36360623098220535
13,5,0.3392372165044446
13,6,0.37204644185090807
13,7,0.4235466636580059
13,8,0.4432630377880752
13,9,0.439759814508667
13,10,0.517153797293503
13,11,0.6442021745358252
13,12,0.6937170895098953
13,13,0.8498960800664975
13,14,0.9709565144700872
13,15.000000000000002,0.8311033793092824
13,16,0.7323627568906821
13,17,0.8863491903932716
13,18,0.9955207507338845
13,19,0.9399860332351242
13,20,1.4164998687897028
13,21,1.3191017590077858
13,22,1.001659828864857
13,23,0.9346885632835726
13,24,0.9972380939148596
13,25,0.770751658307513
14,1,0.4043660534038468
14,2,0.40625012622972495
14,3,0.338313386436903
14,4,0.36025379969932464
14,5,0.3406398943761496
14,6,0.37376170554338617
14,7,0.4198693600111634
14,8,0.44693022847152625
14,9,0.4270875884220665
14,10,0.5036633545856184
14,11,0.6182857888037636
14,12,0.7072141842400966
14,13,0.8372986448817111
14,14,0.9758623902903089
